UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
9GE124,GE90-76B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.53,35.50,363.22,-,5.59,28.5,1318,48.6,18984,2.00,Jet A1,,98.41 - 98.66,"1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 3D aero  4. Performance Enhanced Combustor (PEC)  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
3GE059,GE90-77B,DAC I,GE,GE90 Eval Engineering,"Site IVD & 6, PTO, Peebles, Ohio, USA",24-Feb-95,28-Jul-95,TF,8.6,35.20,363.42,-,6.2 ,31.6 ,1938 ,63.0 ,21308 ,11.2,Jet A,1.94,97.38-98.59,1. GE Report TM95-17.  2. Engine S/N 704/223 & 704/234  3. DAC I combustor
3GE063,GE90-77B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, Ohio, USA",24-Apr-97,19-Jun-97,TF,8.58,35.3,363.42,-,0.9 ,4.6 ,276 ,20.9 ,19995 ,0.6,Jet A,1.91-1.94,97.52-98.62,"1.  GE Report R96AEB292.  2.  Engine S/S 900-173, 900-166 & 900-167  3.  DAC II combustor"
6GE088,GE90-77B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, OH",9-Jan-00,12-Jan-00,TF,8.52,35.1,363.4,-,1.0 ,5.3 ,243 ,23.1 ,19743 ,3.7,Jet A,1.92,97.3 - 98.2,"1. Ref. GE Report R97AEB298,  2. Engine S/N 900326  3. Turbomachinery incorporating 3D aero  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
9GE121,GE90-77B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.58,35.68,357.07,-,6.68,34.1,1548,56.5,21592,2.00,Jet A1,,98.41 - 98.66,1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 2D aero  4. Performance Enhanced Combustor (PEC)
9GE125,GE90-77B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.52,35.80,366.75,-,5.49,28.0,1307,47.9,19394,1.95,Jet A1,,98.41 - 98.66,"1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 3D aero  4. Performance Enhanced Combustor (PEC)  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
2GE053,GE90-85B,DAC I,GE,GE90 Eval Engineering,"Site IVD and 6, PTO, Peebles",24-Feb-95,28-Jul-95,TF,8.4,38.1,395.31,-,5.3 ,26.9 ,1772 ,63.3 ,25703 ,10.8,Jet A,1.91-1.92,97.38-98.59,"1. Ref GE Report TM95-45.  2. Engine S/N 900-108, 900-111 & 900-114.  3. Post certification/ as delivered to service.  4. Smoke <3 below meas. capability.  5. DAC I combustor"
3GE064,GE90-85B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, Ohio, USA",24-Apr-97,19-Jun-97,TF,8.44,38,395.31,-,0.7 ,3.6 ,238 ,17.9 ,24478 ,0.6,Jet A,1.91-1.94,97.52-98.62,"1.  GE Report R96AEB292.  2.  Engine S/S 900-173, 900-166 & 900-167  3.  DAC II combustor"
6GE089,GE90-85B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, OH",9-Jan-00,12-Jan-00,TF,8.41,37.7,395.3,-,0.9 ,4.5 ,228 ,20.2 ,24177 ,4.2,Jet A,1.92,97.3 - 98.2,"1. Ref. GE Report R97AEB298,  2. Engine S/N 900326  3. Turbomachinery incorporating 3D aero  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
9GE122,GE90-85B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.44,38.37,388.40,-,5.47,27.9,1379,48.1,24985,2.17,Jet A1,,98.41 - 98.66,1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 2D aero  4. Performance Enhanced Combustor (PEC)
9GE126,GE90-85B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.41,38.16,397.21,-,4.70,24.0,1212,42.7,23351,2.23,Jet A1,,98.41 - 98.66,"1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 3D aero  4. Performance Enhanced Combustor (PEC)  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
3GE060,GE90-90B,DAC I,GE,GE90 Eval Engineering,"Site IVD & 6, PTO, Peebles, Ohio, USA",24-Feb-95,28-Jul-95,TF,8.4,39.7,418.13,-,4.7 ,24.0 ,1674 ,58.2 ,29448 ,10.5,Jet A,1.94,97.38-98.59,1. GE Report TM95-17.  2. Engine S/N 704/223 & 704/234  3. DAC I combustor
3GE065,GE90-90B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, Ohio, USA",24-Apr-97,19-Jun-97,TF,8.36,39.8,418.13,-,0.6 ,3.1 ,218 ,16.1 ,28459 ,0.6,Jet A,1.91-1.94,97.52-98.62,"1.  GE Report R96AEB292.  2.  Engine S/S 900-173, 900-166 & 900-167  3.  DAC II combustor"
6GE090,GE90-90B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, OH",9-Jan-00,12-Jan-00,TF,8.36,39.38,418.1,-,0.8 ,4.2 ,226 ,18.5 ,27923 ,4.6,Jet A,1.92,97.3 - 98.2,"1. Ref. GE Report R97AEB298,  2. Engine S/N 900326  3. Turbomachinery incorporating 3D aero  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
9GE123,GE90-90B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.36,40.32,410.82,-,4.87,24.8,1298,44.1,29136,3.06,Jet A1,,98.41 - 98.66,1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 2D aero  4. Performance Enhanced Combustor (PEC)
9GE127,GE90-90B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.36,39.85,419.25,-,4.26,21.7,1159,39.8,26639,3.11,Jet A1,,98.41 - 98.66,"1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 3D aero  4. Performance Enhanced Combustor (PEC)  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
3GE061,GE90-92B,DAC I,GE,GE90 Eval Engineering,"Site IVD & 6, PTO, Peebles, Ohio, USA",24-Feb-95,28-Jul-95,TF,8.40,40.4,426.72,-,4.4 ,22.4 ,1594 ,55.5 ,31175 ,10.5,Jet A,1.94,97.38-98.59,1. GE Report TM95-17.  2. Engine S/N 704/223 & 704/234  3. DAC I combustor
3GE066,GE90-92B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, Ohio, USA",24-Apr-97,19-Jun-97,TF,8.33,40.6,426.72,-,0.6 ,3.1 ,212 ,15.6 ,30172 ,0.6,Jet A,1.91-1.94,97.52-98.62,"1.  GE Report R96AEB292.  2.  Engine S/S 900-173, 900-166 & 900-167  3.  DAC II combustor"
6GE091,GE90-94B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, OH",9-Jan-00,12-Jan-00,TF,8.33,40.53,432.8,8GE100,0.8 ,4.0 ,221 ,17.5 ,30617 ,4.8,Jet A,1.92,97.3 - 98.2,"1. Ref. GE Report R97AEB298,  2. Engine S/N 900326  3. Turbomachinery incorporating 3D aero"
8GE100,GE90-94B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, OH",9-Jan-00,12-Jan-00,TF,8.33,40.53,432.8,-,0.8 ,4.0 ,221 ,17.5 ,30617 ,4.8,Jet A,1.92,97.3 - 98.2,"1. Ref. GE Report R97AEB298,  2. Engine S/N 900326  3. Turbomachinery incorporating 3D aero  4. Characteristic Dp/Foo NOx incorrectly entered originally  [6GE091]  5. Issue 15: Dp/Foo NOx corrected from 83.2 to 82.0 and % of standards recalculated as well  6. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  7. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
9GE128,GE90-94B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.33,40.82,430.92,-,4.06,20.7,1136,38.4,28540,3.92,Jet A1,,98.41 - 98.66,"1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 3D aero  4. Performance Enhanced Combustor (PEC)  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
11GE134,GEnx-1B54,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,9.4,35.2,255.3,-,2.41,12.3,400,40.2,5217,1.9,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2008AE357  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11GE135,GEnx-1B58,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,9.2,37.2,271.3,-,1.94,9.9,342,35.7,6279,2.9,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2008AE357  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11GE136,GEnx-1B64,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,9.0,40.6,298,-,1.37,7.0,265,29.9,8576,5.2,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2008AE357  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11GE137,GEnx-1B67,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.9,41.9,308.7,-,1.21,6.2,244,28.1,9759,6.1,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2008AE357  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11GE138,GEnx-1B70,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.8,43.5,321.6,-,1.06,5.4,221,26.2,11457,7.3,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2008AE357  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11GE139,GEnx-2B67,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.0,42.4,299.8,-,1.07,5.5,208,28.21,10978,7.14,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2008AE262  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE148,GEnx-1B54/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,9.4,35.1,255.3,-,1.97,10.05,326,38.55,5556,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE149,GEnx-1B58/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,9.2,37.1,271.3,-,1.58,8.06,278,34.14,6673,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE150,GEnx-1B64/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,9.0,40.5,298.0,-,1.16,5.92,224,28.84,9049,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE151,GEnx-1B67/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.9,41.9,308.7,-,1.04,5.31,208,27.12,10244,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE152,GEnx-1B70/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.8,43.5,321.6,-,0.92,4.69,192,25.28,11953,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE153,GEnx-1B70/72/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.8,43.5,321.6,-,0.92,4.69,192,25.28,11953,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE154,GEnx-1B70/75/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.8,43.5,321.6,-,0.92,3.98,192,25.28,11953,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE155,GEnx-1B74/75/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.8,46.0,341.2,-,0.78,3.98,173,22.9,15268,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
12GE156,GEnx-1B75/P1,TAPS,GE Aviation,GE Aviation,"PTO, Ohio, USA",29-Sep-09,3-Oct-09,TF,8.8,46.5,345.2,-,0.76,3.98,170,22.47,16093,9.8,JET A,1.89,97.4 to 98.6,"1. Ref. GE REPORT R2010AE595  2. Engine S/N 956-108/2  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
8HN001,AS907-1-1A,,Honeywell,Honeywell,"Phoenix, AZ",10-Jan-02,11-Jan-02,TF,4.2,21.95,30.62,-,16.32,83.3,325,94.86,1751,24.07,Jet A,1.866,96.48-97.46,-
11HN002, HTF 7000  (AS907-1-1A),SABER-1,Honeywell,Honeywell,"Phoenix, AZ",7-Apr-10,14-Apr-10,MTF,4.2,21.95,30.62,-,5.4,27.5,-,110.85,-,12.77,Jet-A,13.6-13.7,96.75-97.59,"1. Reference: Original FAA Certification Report; Honeywell Report 21-14240-6A  2. Exhaust Smoke and Gaseous Emissions Test of the AS907-1-1A Turbofan  Engine, dated August 31, 2010.  3. Reported using humidity h=0.00629 in accordance with 14 CFR 34  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
11HN003, HTF7000 (AS907-1-1A),SABER-1,Honeywell,Honeywell,"Phoenix, AZ",7-Apr-10,29-Jul-10,MTF,4.2,21.95,30.62,-,3.82,19.5,-,94.61,-,15,Jet-A,13.5-13.7,96.44-97.59,"1. Reference: Summary Report Data in Honeywell Report 21-14477A  2. Exhaust Smoke and Gaseous Emissions tests of the AS907-1-1A and AS907-2-1G Turbofan Engines  3. Reported using humidity h=0.00634 in accordance with ICAO Annex 16, Vol. II, 3rd Ed., section 7.1.3.  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
11HN004, HTF7250G (AS907-2-1G),SABER-1,Honeywell,Honeywell,"Phoenix, AZ",16-Jun-10,29-Jul-10,MTF,4.2,22.58,32.86,-,3.12,15.9,-,84.92,-,15.95,Jet-A,13.6-13.7,96.44-97.35,"1. Reference: Honeywell Report 21-13729(29)-1  2. Exhaust Smoke and Gaseous Emissions test of the AS907-2-1G Turbofan Engine  3. Reported using humidity  h=0.00629 in accordance with 14 CFR 34  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
11HN005, HTF7250G (AS907-2-1G),SABER-1,Honeywell,Honeywell,"Phoenix, AZ",7-Apr-10,29-Jul-10,MTF,4.2,22.58,32.86,-,2.93,15.0,-,83.45,-,15,Jet-A,13.5-13.7,96.44-97.59,"1. Reference: Honeywell Report 21-14477A  2. Exhaust Smoke and Gaseous Emissions tests of the AS907-1-1A and AS907-2-1G Turbofan Engines  3. Reported using humidity h=0.00634 in accordance with ICAO Annex 16, Vol. II, 3rd Ed., section 7.1.3.  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1IA001,V2500-A1,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",2-Jun-88,2-Jun-88,MTF,5.3,29.8,111.2,-,1.0 ,5.1 ,73 ,18.2 ,7716 ,4.5,Jet A,-,101.3,1. V2500 renamed V2500-A1 2.Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF 
3IA006,V2522-A5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.88,25.6,102.66,-,0.5 ,2.3 ,30 ,33.0 ,4720 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
10IA011,V2522-A5 SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.9,25.7,102.5,-,0.5,2.50,39,30.9,4563,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
3IA007,V2524-A5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.81,26.9,109.06,-,0.4 ,2.2 ,31 ,30.4 ,5278 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
10IA012,V2524-A5 SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.8,27,108.9,-,0.5,2.40,39,28.7,5039,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2.Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1IA002,V2525-D5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.82,27.2,111.2,-,0.4 ,2.3 ,32 ,30.6 ,5382 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
1IA003,V2527-A5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.82,27.2,111.2,-,0.4 ,2.3 ,32 ,30.6 ,5382 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
10IA013,V2527-A5 SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.8,27.1,110.3,-,0.5,2.30,39,28.3,5102,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
10IA014,V2527-A5E SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.8,27.1,110.3,-,0.5,2.30,39,28.3,5102,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
10IA015,V2527-A5M SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.8,27.1,110.3,-,0.5,2.30,39,28.3,5102,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2.Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
8IA010,V2527E-A5,,International Aero Engines,P&W,"East Hartford, CT",12-Aug-92,13-Aug-92,MTF,4.82,27.2,111.2,-,0.4,2.3,32,30.6,5382,11.6,Jet A, ,101.0 - 101.8,-
8IA009,V2527M-A5,,International Aero Engines,P&W,"East Hartford, CT",12-Aug-92,13-Aug-92,MTF,4.82,27.2,111.2,-,0.4,2.3,32,30.6,5382,11.6,Jet A, ,101.0 - 101.8,-
1IA004,V2528-D5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.66,30.0 ,124.5,-,0.4 ,2.1 ,34 ,26.4 ,6686 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
1IA005,V2530-A5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.54,32.1,133.4,-,0.4 ,2.0 ,35 ,24.2 ,7732 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
10IA016,V2530-A5 SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.6,32,133,-,0.4,1.90,38,22.2,7414,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
3IA008,V2533-A5,,International Aero Engines,Pratt & Whitney,"East Hartford, CT, USA",12-Aug-92,13-Aug-92,MTF,4.46,33.44,140.56,-,0.4 ,2.0 ,35 ,19.6 ,8646 ,11.6,Jet A,-,101.0-101.8,1. Engine Type description originally wrongly given as TF; amended in Issue 15 to MTF
10IA017,V2533-A5 SelectOne™ Upgrade Package,Floatwall,IAE International Aero Engines,Pratt & Whitney,"East Hartford, CT",11-Dec-08,19-Jan-09,MTF,4.5,33.7,140.6,-,0.3,1.80,38,20.7,8377,11.1,JET A,1.91,100.35-102.88,"1. Engine performance reflects new SelectOne™ package upgrades.  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1KK001,NK-8-2U,,KKBM,State Inst for Civ Aviation,"Sheremetjevo,  Moscow",12-Jul-89,,MTF,1.24,10.8,103,-,505.1 ,2577.2 ,39677 ,532.0 ,4776 ,30.2,TS-1,2,102.6,"1. Data obtained on aircraft (Tu-154A)  2. In-service engine(s), tested after overhaul"
1KK002,NK-8-2U,,KKBM,State Inst for Civ Aviation,"Sheremetjevo,  Moscow",14-Jun-90,,MTF,1.24,10.8,103,-,180.3 ,920.1 ,11824 ,305.0 ,,-,TS-1,2,102.7,"1. Data obtained on aircraft (Tu-154A)  2. In-service engine(s), tested after overhaul"
1KK003,NK-86,,KKBM,State Inst for Civ Aviation,"Sheremetjevo,  Moscow",15-Jun-89,,MTF,1.33,13.4,127.53,-,157.5 ,803.5 ,17379 ,171.1 ,5440 ,28.4,TS-1,2,102.7-103.0,"1. Data obtained on aircraft (Il-86)  2. In-service engine(s), tested after overhaul"
1KK004,NK-86A,,KKBM,KKBM,Samara City,4-Oct-87,,MTF,1.13,13.2,130.47,-,69.6 ,355.2 ,5988 ,148.2 ,6106 ,-,TS-1,2,102.3,"1. For Il-86 aircraft.  2. In-service engine(s), tested before overhaul."
